2, 35.000000, 60
3, 33.000000, 60
4, 32.000000, 60
8, 30.000000, 60
2, 162.000000, 60
3, 67.000000, 60
4, 35.000000, 60
8, 32.000000, 60
2, 27.000000, 60
3, 24.000000, 60
4, 26.000000, 60
8, 31.000000, 60
2, 27.000000, 60
3, 29.000000, 60
4, 27.000000, 60
8, 34.000000, 60
2, 28.000000, 60
3, 25.000000, 60
4, 25.000000, 60
8, 32.000000, 60
2, 26.000000, 60
3, 28.000000, 60
4, 27.000000, 60
8, 29.000000, 60
2, 25.000000, 60
3, 29.000000, 60
4, 29.000000, 60
8, 29.000000, 60
2, 26.000000, 60
3, 25.000000, 60
4, 27.000000, 60
8, 31.000000, 60
2, 27.000000, 60
3, 26.000000, 60
4, 26.000000, 60
8, 33.000000, 60
2, 35.000000, 60
3, 31.000000, 60
4, 35.000000, 60
8, 36.000000, 60
2, 24.000000, 60
3, 26.000000, 60
4, 27.000000, 60
8, 29.000000, 60
2, 25.000000, 60
3, 25.000000, 60
4, 26.000000, 60
8, 29.000000, 60
2, 25.000000, 60
3, 27.000000, 60
4, 156.000000, 60
8, 53.000000, 60
2, 26.000000, 60
3, 27.000000, 60
4, 30.000000, 60
8, 32.000000, 60
2, 26.000000, 60
3, 27.000000, 60
4, 26.000000, 60
8, 32.000000, 60
2, 27.000000, 60
3, 28.000000, 60
4, 26.000000, 60
8, 28.000000, 60
2, 24.000000, 60
3, 29.000000, 60
4, 26.000000, 60
8, 30.000000, 60
2, 29.000000, 60
3, 26.000000, 60
4, 25.000000, 60
8, 29.000000, 60
2, 26.000000, 60
3, 24.000000, 60
4, 28.000000, 60
8, 31.000000, 60
2, 31.000000, 60
3, 28.000000, 60
4, 28.000000, 60
8, 29.000000, 60
2, 26.000000, 60
3, 25.000000, 60
4, 27.000000, 60
8, 33.000000, 60
2, 25.000000, 60
3, 26.000000, 60
4, 25.000000, 60
8, 28.000000, 60
2, 24.000000, 60
3, 26.000000, 60
4, 25.000000, 60
8, 29.000000, 60
2, 24.000000, 60
3, 25.000000, 60
4, 25.000000, 60
8, 28.000000, 60
2, 26.000000, 60
3, 25.000000, 60
4, 26.000000, 60
8, 29.000000, 60
2, 26.000000, 60
3, 26.000000, 60
4, 26.000000, 60
8, 29.000000, 60
2, 24.000000, 60
3, 26.000000, 60
4, 25.000000, 60
8, 28.000000, 60
2, 24.000000, 60
3, 27.000000, 60
4, 28.000000, 60
8, 29.000000, 60
2, 25.000000, 60
3, 25.000000, 60
4, 25.000000, 60
8, 29.000000, 60
2, 24.000000, 60
3, 26.000000, 60
4, 25.000000, 60
8, 28.000000, 60
